symbol,company,industry,market_cap
SOHU,Sohu.com Limited,Electronic Gaming & Multimedia,455.34M
SOL,Emeren Group Ltd,Solar,95.97M
SOLV,Solventum Corporation,Medical Instruments & Supplies,12.46B
SON,Sonoco Products Company,Packaging & Containers,4.44B
SOND,Sonder Holdings Inc.,Lodging,24.67M
SONM,"Sonim Technologies, Inc.",Communication Equipment,10.39M
SONN,"Sonnet BioTherapeutics Holdings, Inc.",Biotechnology,19.23M
SONO,"Sonos, Inc.",Consumer Electronics,1.37B
SONY,Sony Group Corporation,Consumer Electronics,162.05B
SOPA,Society Pass Incorporated,Software - Application,5.84M
SOPH,SOPHiA GENETICS SA,Health Information Services,203.41M
SORA,Top Win International Limited,Luxury Goods,109.65M
SOS,SOS Limited,Capital Markets,14.49M
SOTK,Sono-Tek Corporation,Scientific & Technical Instruments,51.27M
SOUL,Soulpower Acquisition Corporation,Shell Companies,386.22M
SOUN,"SoundHound AI, Inc.",Software - Application,6.45B
SOWG,Sow Good Inc.,Confectioners,10.07M
SPAI,Safe Pro Group Inc.,Aerospace & Defense,58.56M
SPB,"Spectrum Brands Holdings, Inc.",Household & Personal Products,1.35B
SPCB,SuperCom Ltd.,Security & Protection Services,46.39M
SPCE,"Virgin Galactic Holdings, Inc.",Aerospace & Defense,171.05M
SPEG,Silver Pegasus Acquisition Corp.,Shell Companies,150.34M
SPFI,"South Plains Financial, Inc.",Banks - Regional,603.36M
SPG,"Simon Property Group, Inc.",REIT - Retail,62.31B
SPGI,S&P Global Inc.,Financial Data & Stock Exchanges,169.70B
SPH,"Suburban Propane Partners, L.P.",Utilities - Regulated Gas,1.18B
SPHL,Springview Holdings Ltd,Residential Construction,10.85M
SPHR,Sphere Entertainment Co.,Entertainment,1.39B
SPIR,"Spire Global, Inc.",Specialty Business Services,296.78M
SPKL,Spark I Acquisition Corporation,Shell Companies,180.64M
SPMC,"Sound Point Meridian Capital, Inc.",Asset Management,372.45M
SPNS,Sapiens International Corporation N.V.,Software - Application,1.61B
SPNT,SiriusPoint Ltd.,Insurance - Reinsurance,2.14B
SPOK,"Spok Holdings, Inc.",Health Information Services,378.87M
SPOT,Spotify Technology S.A.,Internet Content & Information,141.83B
SPPL,Simpple Ltd.,Specialty Industrial Machinery,13.64M
SPR,"Spirit AeroSystems Holdings, Inc.",Aerospace & Defense,4.64B
SPRC,SciSparc Ltd.,Biotechnology,2.78M
SPRO,"Spero Therapeutics, Inc.",Biotechnology,123.00M
SPRU,Spruce Power Holding Corporation,Solar,25.85M
SPRY,"ARS Pharmaceuticals, Inc.",Biotechnology,1.61B
SPSC,"SPS Commerce, Inc.",Software - Application,3.97B
SPT,"Sprout Social, Inc.",Software - Application,786.36M
SPTN,SpartanNash Company,Food Distribution,899.95M
SPWH,"Sportsman's Warehouse Holdings, Inc.",Specialty Retail,126.83M
SPWR,"Complete Solaria, Inc.",Solar,124.42M
SPXC,"SPX Technologies, Inc.",Building Products & Equipment,9.38B
SQFT,"Presidio Property Trust, Inc.",REIT - Diversified,6.57M
SQM,Sociedad Química y Minera de Chile S.A.,Specialty Chemicals,13.11B
SQNS,Sequans Communications S.A.,Semiconductors,184.10M
SR,Spire Inc.,Utilities - Regulated Gas,4.50B
SRAD,Sportradar Group AG,Software - Application,8.41B
SRBK,"SR Bancorp, Inc.",Banks - Regional,124.25M
SRCE,1st Source Corporation,Banks - Regional,1.44B
SRDX,"Surmodics, Inc.",Medical Devices,542.38M
SRE,Sempra,Utilities - Diversified,52.79B
SRFM,Surf Air Mobility Inc.,Airlines,138.89M
SRG,Seritage Growth Properties,Real Estate Services,160.53M
SRI,"Stoneridge, Inc.",Auto Parts,211.17M
SRL,Scully Royalty Ltd.,Capital Markets,78.85M
SRPT,"Sarepta Therapeutics, Inc.",Biotechnology,1.75B
SRRK,Scholar Rock Holding Corporation,Biotechnology,3.02B
SRTS,"Sensus Healthcare, Inc.",Medical Devices,52.28M
SRXH,SRx Health Solutions Inc.,Medical Care Facilities,4.43M
SRZN,"Surrozen, Inc.",Biotechnology,85.50M
SSB,SouthState Corporation,Banks - Regional,9.32B
SSBI,Summit State Bank,Banks - Regional,81.53M
SSD,"Simpson Manufacturing Co., Inc.",Lumber & Wood Production,7.55B
SSEA,Starry Sea Acquisition Corp,Shell Companies,52.48M
SSII,"SS Innovations International, Inc.",Medical Devices,1.21B
SSKN,"STRATA Skin Sciences, Inc.",Medical Devices,7.92M
SSL,Sasol Limited,Specialty Chemicals,3.03B
SSNC,"SS&C Technologies Holdings, Inc.",Software - Application,20.89B
SSP,The E.W. Scripps Company,Broadcasting,225.85M
SSRM,SSR Mining Inc.,Gold,3.16B
SSSS,SuRo Capital Corp.,Asset Management,203.05M
SST,"System1, Inc.",Specialty Business Services,56.42M
SSTI,"SoundThinking, Inc.",Software - Application,141.56M
SSTK,"Shutterstock, Inc.",Internet Content & Information,702.03M
SSY,"SunLink Health Systems, Inc.",Pharmaceutical Retailers,6.63M
SSYS,Stratasys Ltd.,Computer Hardware,905.97M
ST,Sensata Technologies Holding plc,Scientific & Technical Instruments,4.29B
STAA,STAAR Surgical Company,Medical Instruments & Supplies,1.35B
STAG,"STAG Industrial, Inc.",REIT - Industrial,6.45B
STAI,ScanTech AI Systems Inc.,Building Products & Equipment,25.69M
STAK,STAK Inc.,Oil & Gas Equipment & Services,14.73M
STBA,"S&T Bancorp, Inc.",Banks - Regional,1.39B
STC,Stewart Information Services Corporation,Insurance - Property & Casualty,1.90B
STE,STERIS plc,Medical Devices,23.80B
STEC,Santech Holdings Limited,Software - Application,53.23M
STEL,"Stellar Bancorp, Inc.",Banks - Regional,1.46B
STEM,"Stem, Inc.",Utilities - Renewable,116.44M
STEP,StepStone Group Inc.,Asset Management,6.96B
STFS,Star Fashion Culture Holdings Limited,Advertising Agencies,69.60M
STG,Sunlands Technology Group,Education & Training Services,134.89M
STGW,Stagwell Inc.,Advertising Agencies,1.41B
STHO,Star Holdings,Real Estate Services,96.43M
STI,"Solidion Technology, Inc.",Electrical Equipment & Parts,8.97M
STIM,"Neuronetics, Inc.",Medical Devices,259.21M
STKH,Steakholder Foods Ltd.,Packaged Foods,2.54M
STKL,SunOpta Inc.,Beverages - Non-Alcoholic,737.48M
STKS,"The ONE Group Hospitality, Inc.",Restaurants,84.36M
STLA,Stellantis N.V.,Auto Manufacturers,26.86B
STLD,"Steel Dynamics, Inc.",Steel,18.17B
STM,STMicroelectronics N.V.,Semiconductors,22.29B
STN,Stantec Inc.,Engineering & Construction,12.43B
STNE,StoneCo Ltd.,Software - Infrastructure,3.83B
STNG,Scorpio Tankers Inc.,Oil & Gas Midstream,2.08B
STOK,"Stoke Therapeutics, Inc.",Biotechnology,718.50M
STR,Sitio Royalties Corp.,Oil & Gas Exploration & Production,2.74B
STRA,"Strategic Education, Inc.",Education & Training Services,1.79B
STRL,"Sterling Infrastructure, Inc.",Engineering & Construction,8.82B
STRM,"Streamline Health Solutions, Inc.",Health Information Services,22.07M
STRO,"Sutro Biopharma, Inc.",Biotechnology,65.50M
STRR,"Star Equity Holdings, Inc.",Diagnostics & Research,6.42M
STRS,Stratus Properties Inc.,Real Estate - Diversified,128.36M
STRT,Strattec Security Corporation,Auto Parts,310.07M
STRW,"Strawberry Fields REIT, Inc.",REIT - Healthcare Facilities,558.89M
STRZ,Starz Entertainment Corp.,Entertainment,227.25M
STSS,"Sharps Technology, Inc.",Medical Instruments & Supplies,5.82M
STT,State Street Corporation,Asset Management,31.16B
STTK,"Shattuck Labs, Inc.",Biotechnology,35.41M
STVN,Stevanato Group S.p.A.,Medical Instruments & Supplies,5.96B
STWD,"Starwood Property Trust, Inc.",REIT - Mortgage,7.24B
STX,Seagate Technology Holdings plc,Computer Hardware,32.26B
STXS,"Stereotaxis, Inc.",Medical Instruments & Supplies,234.31M
STZ,"Constellation Brands, Inc.",Beverages - Brewers,29.74B
SU,Suncor Energy Inc.,Oil & Gas Integrated,47.03B
SUGP,SU Group Holdings Limited,Security & Protection Services,8.76M
SUI,"Sun Communities, Inc.",REIT - Residential,16.03B
SUN,Sunoco LP,Oil & Gas Refining & Marketing,6.91B
SUNE,SUNation Energy Inc.,Solar,5.11M
SUNS,"Sunrise Realty Trust, Inc.",REIT - Mortgage,139.18M
SUPN,"Supernus Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,2.27B
SUPV,Grupo Supervielle S.A.,Banks - Regional,960.73M
SUPX,SuperX AI Technology Limited,Software - Infrastructure,587.72M
SURG,"SurgePays, Inc.",Telecom Services,60.21M
SUUN,PowerBank Corporation,Utilities - Renewable,52.56M
SUZ,Suzano S.A.,Paper & Paper Products,12.26B
SVC,Service Properties Trust,REIT - Hotel & Motel,386.60M
SVCC,Stellar V Capital Corp.,Shell Companies,222.19M
SVCO,"Silvaco Group, Inc.",Software - Application,126.09M
SVII,Spring Valley Acquisition Corp. II,Shell Companies,116.60M
SVM,Silvercorp Metals Inc.,Silver,970.46M
SVRA,Savara Inc.,Biotechnology,569.92M
SVRE,SaverOne 2014 Ltd.,Scientific & Technical Instruments,13.12M
SVV,"Savers Value Village, Inc.",Specialty Retail,1.72B
SW,Smurfit Westrock Plc,Packaging & Containers,22.61B
SWAG,"Stran & Company, Inc.",Advertising Agencies,25.87M
SWBI,"Smith & Wesson Brands, Inc.",Aerospace & Defense,356.26M
SWIM,"Latham Group, Inc.",Building Products & Equipment,833.28M
SWIN,Solowin Holdings,Capital Markets,240.49M
SWK,"Stanley Black & Decker, Inc.",Tools & Accessories,10.66B
SWKH,SWK Holdings Corporation,Asset Management,179.87M
SWKS,"Skyworks Solutions, Inc.",Semiconductors,10.47B
SWVL,Swvl Holdings Corp.,Railroads,40.19M
SWX,"Southwest Gas Holdings, Inc.",Utilities - Regulated Gas,5.69B
SXC,"SunCoke Energy, Inc.",Coking Coal,660.39M
SXI,Standex International Corporation,Specialty Industrial Machinery,2.27B
SXT,Sensient Technologies Corporation,Specialty Chemicals,4.93B
SXTC,"China SXT Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,183.90M
SXTP,"60 Degrees Pharmaceuticals, Inc.",Biotechnology,4.45M
SY,So-Young International Inc.,Health Information Services,461.02M
SYBT,"Stock Yards Bancorp, Inc.",Banks - Regional,2.14B
SYBX,"Synlogic, Inc.",Biotechnology,16.14M
SYF,Synchrony Financial,Credit Services,25.90B
SYK,Stryker Corporation,Medical Devices,144.00B
SYM,Symbotic Inc.,Specialty Industrial Machinery,30.26B
SYNA,Synaptics Incorporated,Semiconductors,2.47B
SYNX,Silynxcom Ltd.,Communication Equipment,11.74M
SYPR,"Sypris Solutions, Inc.",Auto Parts,45.04M
SYRE,"Spyre Therapeutics, Inc.",Biotechnology,920.81M
SYTA,Siyata Mobile Inc.,Communication Equipment,29.70M
SYY,Sysco Corporation,Food Distribution,38.14B
SZZL,Sizzle Acquisition Corp. II,Shell Companies,315.24M
T,AT&T Inc.,Telecom Services,201.21B
TAC,TransAlta Corporation,Utilities - Independent Power Producers,3.56B
TACH,Titan Acquisition Corp,Shell Companies,341.04M
TACO,Berto Acquisition Corp.,Shell Companies,389.07M
TACT,TransAct Technologies Incorporated,Computer Hardware,40.32M
TAIT,Taitron Components Incorporated,Electronics & Computer Distribution,12.89M
TAK,Takeda Pharmaceutical Company Limited,Drug Manufacturers - Specialty & Generic,45.86B
TAL,TAL Education Group,Education & Training Services,6.74B
TALK,"Talkspace, Inc.",Health Information Services,411.97M
TALO,Talos Energy Inc.,Oil & Gas Exploration & Production,1.37B
TANH,Tantech Holdings Ltd,Household & Personal Products,2.58M
TAOP,Taoping Inc.,Software - Infrastructure,3.35M
TAOX,TAO Synergies Inc.,Software - Infrastructure,10.28M
TAP,Molson Coors Beverage Company,Beverages - Brewers,9.95B
TAP.A,Molson Coors Beverage Company,Beverages - Brewers,9.95B
TARA,"Protara Therapeutics, Inc.",Biotechnology,119.60M
TARS,"Tarsus Pharmaceuticals, Inc.",Biotechnology,2.11B
TASK,"TaskUs, Inc.",Information Technology Services,1.79B
TATT,TAT Technologies Ltd.,Aerospace & Defense,478.15M
TAVI,Tavia Acquisition Corp.,Shell Companies,163.98M
TAYD,"Taylor Devices, Inc.",Specialty Industrial Machinery,139.11M
TBBB,BBB Foods Inc.,Discount Stores,3.01B
TBBK,"The Bancorp, Inc.",Banks - Regional,2.96B
TBCH,Turtle Beach Corporation,Consumer Electronics,311.76M
TBH,"Brag House Holdings, Inc.",Electronic Gaming & Multimedia,13.10M
TBHC,"The Brand House Collective, Inc.",Home Improvement Retail,27.85M
TBI,"TrueBlue, Inc.",Staffing & Employment Services,169.24M
TBLA,Taboola.com Ltd.,Internet Content & Information,940.60M
TBLD,Thornburg Income Builder Opportunities Trust,Asset Management,631.05M
TBMC,Trailblazer Merger Corporation I,Shell Companies,52.23M
TBN,Tamboran Resources Corporation,Oil & Gas Exploration & Production,393.31M
TBPH,"Theravance Biopharma, Inc.",Biotechnology,570.02M
TBRG,"TruBridge, Inc.",Health Information Services,278.03M
TC,Token Cat Limited,Advertising Agencies,24.62M
TCBI,"Texas Capital Bancshares, Inc.",Banks - Regional,3.64B
TCBK,TriCo Bancshares,Banks - Regional,1.35B
TCBS,"Texas Community Bancshares, Inc.",Banks - Regional,44.62M
TCBX,"Third Coast Bancshares, Inc.",Banks - Regional,509.68M
TCI,"Transcontinental Realty Investors, Inc.",Real Estate Services,372.79M
TCMD,"Tactile Systems Technology, Inc.",Medical Devices,271.30M
TCOM,Trip.com Group Limited,Travel Services,38.88B
TCPC,BlackRock TCP Capital Corp.,Asset Management,607.16M
TCRT,"Alaunos Therapeutics, Inc.",Biotechnology,5.02M
TCRX,"TScan Therapeutics, Inc.",Biotechnology,91.11M
TCX,Tucows Inc.,Software - Infrastructure,224.23M
TD,The Toronto-Dominion Bank,Banks - Diversified,125.90B
TDAC,Translational Development Acquisition Corp.,Shell Companies,226.96M
TDC,Teradata Corporation,Software - Infrastructure,1.91B
TDG,TransDigm Group Incorporated,Aerospace & Defense,79.43B
TDIC,Dreamland Limited,Entertainment,114.70M
TDOC,"Teladoc Health, Inc.",Health Information Services,1.20B
TDS,"Telephone and Data Systems, Inc.",Telecom Services,4.44B
TDTH,Trident Digital Tech Holdings Ltd,Information Technology Services,69.15M
TDUP,ThredUp Inc.,Internet Retail,1.21B
TDW,Tidewater Inc.,Oil & Gas Equipment & Services,2.71B
TDY,Teledyne Technologies Incorporated,Scientific & Technical Instruments,25.41B
TE,T1 Energy Inc.,Electrical Equipment & Parts,193.36M
TEAD,Teads Holding Co.,Internet Content & Information,161.45M
TEAM,Atlassian Corporation,Software - Application,41.81B
TECH,Bio-Techne Corporation,Biotechnology,7.86B
TECK,Teck Resources Limited,Other Industrial Metals & Mining,15.79B
TECX,"Tectonic Therapeutic, Inc.",Biotechnology,413.16M
TEF,"Telefónica, S.A.",Telecom Services,30.71B
TEL,TE Connectivity plc,Electronic Components,59.05B
TELA,"TELA Bio, Inc.",Medical Devices,73.57M
TELO,"Telomir Pharmaceuticals, Inc.",Biotechnology,48.76M
TEM,"Tempus AI, Inc.",Health Information Services,10.57B
TEN,Tsakos Energy Navigation Limited,Oil & Gas Midstream,595.62M
TENB,"Tenable Holdings, Inc.",Software - Infrastructure,3.46B
TENX,"Tenax Therapeutics, Inc.",Biotechnology,232.20M
TEO,Telecom Argentina S.A.,Telecom Services,4.35B
TER,"Teradyne, Inc.",Semiconductor Equipment & Materials,16.65B
TERN,"Terns Pharmaceuticals, Inc.",Biotechnology,551.32M
TEVA,Teva Pharmaceutical Industries Limited,Drug Manufacturers - Specialty & Generic,18.84B
TEX,Terex Corporation,Farm & Heavy Construction Machinery,3.18B
TFC,Truist Financial Corporation,Banks - Regional,55.23B
TFII,TFI International Inc.,Trucking,7.00B
TFIN,"Triumph Financial, Inc.",Banks - Regional,1.22B
TFPM,Triple Flag Precious Metals Corp.,Other Precious Metals & Mining,5.55B
TFSL,TFS Financial Corporation,Banks - Regional,3.55B
TFX,Teleflex Incorporated,Medical Instruments & Supplies,5.12B
TG,Tredegar Corporation,Metal Fabrication,245.33M
TGB,Taseko Mines Limited,Copper,981.02M
TGE,The Generation Essentials Group,Asset Management,141.38M
TGEN,Tecogen Inc.,Electrical Equipment & Parts,263.87M
TGL,Treasure Global Inc.,Software - Application,4.90M
TGLS,Tecnoglass Inc.,Building Materials,3.64B
TGNA,TEGNA Inc.,Broadcasting,3.20B
TGS,Transportadora de Gas del Sur S.A.,Oil & Gas Integrated,4.33B
TGT,Target Corporation,Discount Stores,47.26B
TGTX,"TG Therapeutics, Inc.",Biotechnology,3.85B
TH,Target Hospitality Corp.,Specialty Business Services,816.19M
THAR,"Tharimmune, Inc.",Biotechnology,5.07M
THC,Tenet Healthcare Corporation,Medical Care Facilities,14.72B
THCH,TH International Limited,Restaurants,86.43M
THFF,First Financial Corporation,Banks - Regional,634.01M
THG,"The Hanover Insurance Group, Inc.",Insurance - Property & Casualty,6.06B
THM,International Tower Hill Mines Ltd.,Gold,272.91M
THO,"THOR Industries, Inc.",Recreational Vehicles,5.07B
THR,"Thermon Group Holdings, Inc.",Specialty Industrial Machinery,818.69M
THRM,Gentherm Incorporated,Auto Parts,997.69M
THRY,"Thryv Holdings, Inc.",Internet Content & Information,545.25M
THS,"TreeHouse Foods, Inc.",Packaged Foods,887.79M
THTX,Theratechnologies Inc.,Biotechnology,147.07M
TIC,Acuren Corporation,Specialty Business Services,1.13B
TIGO,Millicom International Cellular S.A.,Telecom Services,7.10B
TIGR,UP Fintech Holding Limited,Capital Markets,1.78B
TIL,"Instil Bio, Inc.",Biotechnology,185.97M
TILE,"Interface, Inc.","Furnishings, Fixtures & Appliances",1.45B
TIMB,TIM S.A.,Telecom Services,10.05B
TIPT,Tiptree Inc.,Insurance - Specialty,835.88M
TIRX,Tian Ruixiang Holdings Ltd.,Insurance Brokers,111.82M
TISI,"Team, Inc.",Specialty Business Services,74.59M
TITN,Titan Machinery Inc.,Industrial Distribution,428.68M
TIVC,"Tivic Health Systems, Inc.",Medical Devices,3.86M
TIXT,TELUS International (Cda) Inc.,Software - Infrastructure,1.07B
TJX,"The TJX Companies, Inc.",Apparel Retail,147.71B
TK,Teekay Corporation Ltd.,Oil & Gas Midstream,634.40M
TKC,Turkcell Iletisim Hizmetleri A.S.,Telecom Services,5.21B
TKLF,"Tokyo Lifestyle Co., Ltd.",Specialty Retail,14.60M
TKNO,"Alpha Teknova, Inc.",Drug Manufacturers - Specialty & Generic,236.00M
TKO,"TKO Group Holdings, Inc.",Entertainment,35.69B
TKR,The Timken Company,Tools & Accessories,5.16B
TLF,"Tandy Leather Factory, Inc.",Specialty Retail,29.37M
TLIH,Ten-League International Holdings Limited,Farm & Heavy Construction Machinery,17.36M
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Telecom Services,18.19B
TLN,Talen Energy Corporation,Utilities - Independent Power Producers,16.90B
TLPH,"Talphera, Inc.",Drug Manufacturers - Specialty & Generic,8.61M
TLRY,"Tilray Brands, Inc.",Drug Manufacturers - Specialty & Generic,1.01B
TLS,Telos Corporation,Software - Infrastructure,284.39M
TLSA,Tiziana Life Sciences Ltd,Biotechnology,274.20M
TLSI,"TriSalus Life Sciences, Inc.",Medical Devices,132.44M
TLX,Telix Pharmaceuticals Limited,Biotechnology,3.72B
TLYS,"Tilly's, Inc.",Apparel Retail,38.29M
TM,Toyota Motor Corporation,Auto Manufacturers,244.64B
TMC,TMC the metals company Inc.,Other Industrial Metals & Mining,2.14B
TMCI,"Treace Medical Concepts, Inc.",Medical Devices,403.68M
TMDE,TMD Energy Limited,Oil & Gas Midstream,20.21M
TMDX,"TransMedics Group, Inc.",Medical Devices,4.34B
TME,Tencent Music Entertainment Group,Internet Content & Information,35.92B
TMHC,Taylor Morrison Home Corporation,Residential Construction,6.34B
TMO,Thermo Fisher Scientific Inc.,Diagnostics & Research,174.60B
TMP,Tompkins Financial Corporation,Banks - Regional,903.56M
TMQ,Trilogy Metals Inc.,Other Industrial Metals & Mining,248.97M
TMUS,"T-Mobile US, Inc.",Telecom Services,280.08B
TNC,Tennant Company,Specialty Industrial Machinery,1.48B
TNDM,"Tandem Diabetes Care, Inc.",Medical Devices,683.47M
TNET,"TriNet Group, Inc.",Staffing & Employment Services,3.05B
TNFA,"TNF Pharmaceuticals, Inc.",Biotechnology,1.56M
TNGX,"Tango Therapeutics, Inc.",Biotechnology,713.18M
TNK,Teekay Tankers Ltd.,Oil & Gas Midstream,1.49B
TNL,Travel + Leisure Co.,Travel Services,3.77B
TNMG,TNL Mediagene,Publishing,12.08M
TNON,"Tenon Medical, Inc.",Medical Devices,10.47M
TNXP,Tonix Pharmaceuticals Holding Corp.,Biotechnology,393.27M
TNYA,"Tenaya Therapeutics, Inc.",Biotechnology,111.02M
TOI,"The Oncology Institute, Inc.",Medical Care Facilities,382.36M
TOL,"Toll Brothers, Inc.",Residential Construction,12.19B
TOMZ,"TOMI Environmental Solutions, Inc.",Pollution & Treatment Controls,20.62M
TOON,Kartoon Studios Inc.,Entertainment,32.98M
TOP,TOP Financial Group Limited,Capital Markets,42.31M
TOPP,Toppoint Holdings Inc.,Trucking,30.30M
TOPS,Top Ships Inc.,Oil & Gas Midstream,27.66M
TORO,Toro Corp.,Marine Shipping,49.08M
TOST,"Toast, Inc.",Software - Infrastructure,25.22B
TOUR,Tuniu Corporation,Travel Services,88.89M
TOVX,"Theriva Biologics, Inc.",Biotechnology,3.83M
TOWN,TowneBank,Banks - Regional,2.62B
TOYO,"TOYO Co., Ltd.",Solar,168.31M
TPB,"Turning Point Brands, Inc.",Tobacco,1.76B
TPC,Tutor Perini Corporation,Engineering & Construction,2.99B
TPCS,TechPrecision Corporation,Metal Fabrication,55.59M
TPET,Trio Petroleum Corp.,Oil & Gas Exploration & Production,8.35M
TPG,TPG Inc.,Asset Management,23.22B
TPH,"Tri Pointe Homes, Inc.",Residential Construction,2.87B
TPIC,"TPI Composites, Inc.",Specialty Industrial Machinery,13.96M
TPL,Texas Pacific Land Corporation,Oil & Gas Exploration & Production,19.65B
TPR,"Tapestry, Inc.",Luxury Goods,22.42B
TPST,"Tempest Therapeutics, Inc.",Biotechnology,32.74M
TPVG,TriplePoint Venture Growth BDC Corp.,Asset Management,253.23M
TR,"Tootsie Roll Industries, Inc.",Confectioners,2.80B
TRAK,"ReposiTrak, Inc.",Software - Application,302.47M
TRAW,"Traws Pharma, Inc.",Biotechnology,9.01M
TRC,Tejon Ranch Co.,Conglomerates,471.18M
TRDA,"Entrada Therapeutics, Inc.",Biotechnology,178.48M
TREE,"LendingTree, Inc.",Financial Conglomerates,753.33M
TREX,"Trex Company, Inc.",Building Products & Equipment,6.29B
TRGP,Targa Resources Corp.,Oil & Gas Midstream,35.75B
TRI,Thomson Reuters Corporation,Specialty Business Services,78.78B
TRIB,Trinity Biotech plc,Medical Devices,15.47M
TRIN,Trinity Capital Inc.,Asset Management,1.11B
TRIP,"Tripadvisor, Inc.",Travel Services,2.07B
TRMB,Trimble Inc.,Scientific & Technical Instruments,19.65B
TRMD,TORM plc,Oil & Gas Midstream,1.81B
TRMK,Trustmark Corporation,Banks - Regional,2.22B
TRML,"Tourmaline Bio, Inc.",Biotechnology,537.66M
TRN,"Trinity Industries, Inc.",Railroads,2.24B
TRNO,Terreno Realty Corporation,REIT - Industrial,5.48B
TRNR,Interactive Strength Inc.,Personal Services,6.26M
TRNS,"Transcat, Inc.",Specialty Business Services,746.46M
TRON,Tron Inc.,Leisure,229.59M
TROO,"TROOPS, Inc.",Credit Services,107.07M
TROW,"T. Rowe Price Group, Inc.",Asset Management,23.13B
TROX,Tronox Holdings plc,Chemicals,499.35M
TRP,TC Energy Corporation,Oil & Gas Midstream,51.96B
TRS,TriMas Corporation,Packaging & Containers,1.41B
TRSG,Tungray Technologies Inc.,Metal Fabrication,26.98M
TRST,TrustCo Bank Corp NY,Banks - Regional,629.06M
TRT,Trio-Tech International,Semiconductor Equipment & Materials,24.12M
TRTX,"TPG RE Finance Trust, Inc.",REIT - Mortgage,688.45M
TRU,TransUnion,Financial Data & Stock Exchanges,16.75B
TRUE,"TrueCar, Inc.",Internet Content & Information,167.15M
TRUG,"TruGolf Holdings, Inc.",Electronic Gaming & Multimedia,46.43M
TRUP,"Trupanion, Inc.",Insurance - Property & Casualty,2.13B
TRV,"The Travelers Companies, Inc.",Insurance - Property & Casualty,59.49B
TRVG,trivago N.V.,Internet Content & Information,243.08M
TRVI,"Trevi Therapeutics, Inc.",Biotechnology,892.02M
TRX,TRX Gold Corporation,Gold,102.59M
TS,Tenaris S.A.,Oil & Gas Equipment & Services,18.51B
TSAT,Telesat Corporation,Communication Equipment,1.07B
TSBK,"Timberland Bancorp, Inc.",Banks - Regional,248.29M
TSBX,Turnstone Biologics Corp.,Biotechnology,8.21M
TSCO,Tractor Supply Company,Specialty Retail,31.55B
TSE,Trinseo PLC,Specialty Chemicals,73.70M
TSEM,Tower Semiconductor Ltd.,Semiconductors,5.18B
TSHA,"Taysha Gene Therapies, Inc.",Biotechnology,592.47M
TSLA,"Tesla, Inc.",Auto Manufacturers,"1,093.52B"
TSLX,"Sixth Street Specialty Lending, Inc.",Asset Management,2.25B
TSM,Taiwan Semiconductor Manufacturing Company Limited,Semiconductors,"1,020.87B"
TSN,"Tyson Foods, Inc.",Farm Products,20.17B
TSQ,"Townsquare Media, Inc.",Advertising Agencies,110.51M
TSSI,"TSS, Inc.",Information Technology Services,471.01M
TT,Trane Technologies plc,Building Products & Equipment,95.25B
TTAM,Titan America SA,Building Materials,2.85B
TTAN,"ServiceTitan, Inc.",Software - Application,8.93B
TTC,The Toro Company,Tools & Accessories,7.26B
TTD,"The Trade Desk, Inc.",Advertising Agencies,26.00B
TTE,TotalEnergies SE,Oil & Gas Integrated,133.57B
TTEC,"TTEC Holdings, Inc.",Information Technology Services,169.62M
TTEK,"Tetra Tech, Inc.",Engineering & Construction,9.68B
TTGT,"TechTarget, Inc.",Information Technology Services,456.10M
TTI,"TETRA Technologies, Inc.",Conglomerates,522.46M
TTMI,"TTM Technologies, Inc.",Electronic Components,4.61B
TTNP,"Titan Pharmaceuticals, Inc.",Biotechnology,4.96M
TTSH,"Tile Shop Holdings, Inc.",Home Improvement Retail,268.57M
TTWO,"Take-Two Interactive Software, Inc.",Electronic Gaming & Multimedia,41.08B
TU,TELUS Corporation,Telecom Services,24.58B
TURB,"Turbo Energy, S.A.",Solar,25.18M
TURN,180 Degree Capital Corp.,Asset Management,43.60M
TUSK,"Mammoth Energy Services, Inc.",Conglomerates,106.03M
TUYA,Tuya Inc.,Software - Infrastructure,1.49B
TV,"Grupo Televisa, S.A.B.",Telecom Services,1.25B
TVA,Texas Ventures Acquisition III Corp,Shell Companies,303.41M
TVAI,Thayer Ventures Acquisition Corporation II,Shell Companies,263.21M
TVGN,Tevogen Bio Holdings Inc.,Biotechnology,189.82M
TVRD,"Tvardi Therapeutics, Inc.",Biotechnology,225.75M
TVTX,"Travere Therapeutics, Inc.",Biotechnology,1.54B
TW,Tradeweb Markets Inc.,Capital Markets,31.89B
TWFG,"TWFG, Inc.",Insurance Brokers,1.52B
TWG,Top Wealth Group Holding Limited,Food Distribution,4.71M
TWI,"Titan International, Inc.",Farm & Heavy Construction Machinery,525.22M
TWIN,"Twin Disc, Incorporated",Specialty Industrial Machinery,126.48M
TWLO,Twilio Inc.,Software - Infrastructure,14.18B
TWNP,Twin Hospitality Group Inc.,Restaurants,206.37M
TWO,Two Harbors Investment Corp.,REIT - Mortgage,1.02B
TWST,Twist Bioscience Corporation,Diagnostics & Research,1.67B
TX,Ternium S.A.,Steel,6.23B
TXG,"10x Genomics, Inc.",Health Information Services,1.53B
